screen	section	comp_idx	type	label	custom_name	variant	triggers_api	binds_to	state	validation	placeholder	options	note_len
SCREEN-007	검색·필터 (VideoFilters)	1.0	Input	CCTV명 / 영상ID				"""params.cctvNameKeyword"""			검색어 입력		0
SCREEN-007	검색·필터 (VideoFilters)	1.1	Select	상태				"""params.dataSttsCd"""				"[""전체 상태"", ""완료"", ""처리중"", ""마킹 대기"", ""대기"", ""실패""]"	0
SCREEN-007	검색·필터 (VideoFilters)	1.2	Select	이벤트 유형				"""params.eventTypeCd"""				"[""전체 이벤트"", ""(서버 조회 동적 옵션 — value=categoryKey, 표시=label)""]"	182
SCREEN-007	검색·필터 (VideoFilters)	1.3	Input	시작일				"""params.from"""					9
SCREEN-007	검색·필터 (VideoFilters)	1.4	Input	종료일				"""params.to"""					9
SCREEN-007	검색·필터 (VideoFilters)	1.5	Button	조회		primary	API-042						0
SCREEN-007	검색·필터 (VideoFilters)	1.6	Button	초기화		secondary							0
SCREEN-007	일괄 배정 바 (REVIEWER 전용)	2.0	Custom	선택 N건 → N개 일괄 배정	BulkAssignBar		API-070						37
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.0	Checkbox	전체 선택									0
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.1	Table	영상 목록			API-042	"""data.content"""					51
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.2	Custom	재배정 버튼	RowReassignButton		API-071						101
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.3	Custom	마킹 버튼	RowMarkingButton		API-047						73
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.4	Custom	배정자(workerName / 미배정)	AssigneeCell								21
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.5	Custom	상세 → /video/{id}	RowDetailLink								0
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.6	Custom	페이지네이션	Pagination								41
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.7	Custom	해당하는 영상이 없습니다.	EmptyState								0
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.8	Custom	영상 목록을 불러올 수 없습니다	ErrorState								0
SCREEN-007	영상 목록 테이블 + 페이지네이션	3.9	Custom	로딩 스켈레톤	Skeleton								0
SCREEN-007	작업자 재배정/일괄 배정 모달 (AssignModal, REVIEWER 전용)	4.0	Custom	작업자 배정 모달	AssignModal		API-071						124
SCREEN-007	마킹 진입 팝업 (MarkingModal, REVIEWER 전용)	5.0	Dialog	마킹 방식 선택									0
SCREEN-007	마킹 진입 팝업 (MarkingModal, REVIEWER 전용)	5.1	Button	자동		outline							14
SCREEN-007	마킹 진입 팝업 (MarkingModal, REVIEWER 전용)	5.2	Button	수동		outline							67
SCREEN-007	마킹 진입 팝업 (MarkingModal, REVIEWER 전용)	5.3	Input	프레임 간격							예: 300 (프레임마다)		40
SCREEN-007	마킹 진입 팝업 (MarkingModal, REVIEWER 전용)	5.4	Button	자동 마킹 시작		primary	API-047						70
SCREEN-009	영상 헤더 카드	0.0	Button	뒤로가기		ghost							12
SCREEN-009	영상 헤더 카드	0.1	Custom	썸네일	AuthImage		API-021	"""framePreviews[0].srcSn"""					0
SCREEN-009	영상 헤더 카드	0.2	Heading	CCTV명				"""video.cctvName"""					0
SCREEN-009	영상 헤더 카드	0.3	Badge	이벤트 유형 배지(EventTypeBadge)				"""video.eventTypeCd"""					0
SCREEN-009	영상 헤더 카드	0.4	Badge	상태 배지(StatusBadge)				"""video.status"""					0
SCREEN-009	영상 헤더 카드	0.5	Button	재비식별 요청		secondary	API-112						183
SCREEN-009	탭 네비게이션	1.0	Tabs	상세 탭								"[""기본 정보"", ""프레임 미리보기"", ""오토라벨 결과""]"	0
SCREEN-009	기본 정보 탭	2.0	KeyValue	메타 정보 그리드				"""video"""					53
SCREEN-009	기본 정보 탭	2.1	Custom	처리 단계 표시	BatchStageIndicator			"""video.stages"""					0
SCREEN-009	프레임 미리보기 탭	3.0	Custom	프레임 썸네일	AuthImage		API-021	"""framePreviews[].srcSn"""					0
SCREEN-009	프레임 미리보기 탭	3.1	Button	프레임 상세 보기		ghost							8
SCREEN-009	프레임 라이트박스 모달	4.0	Dialog	프레임 확대 모달									13
SCREEN-009	프레임 라이트박스 모달	4.1	Custom	확대 프레임 이미지	AuthImage		API-021	"""lightboxFrame.srcSn"""					0
SCREEN-009	프레임 라이트박스 모달	4.2	Button	닫기		secondary							0
SCREEN-009	프레임 라이트박스 모달	4.3	Button	라벨링 편집		primary							24
SCREEN-009	오토라벨 결과 탭	5.0	Stat	처리 정보(총 라벨/오토라벨/비율/상태 4종)									0
SCREEN-009	오토라벨 결과 탭	5.1	Chart	신뢰도 분포 막대				"""labels.confidence"""					0
SCREEN-009	오토라벨 결과 탭	5.2	Chart	라벨별 분포 바				"""labels.labelCode"""					0
SCREEN-009	오토라벨 결과 탭	5.3	Alert	빈/에러 상태									21
SCREEN-010	페이지 헤더	0.0	Button	뒤로가기		ghost							12
SCREEN-010	페이지 헤더	0.1	Heading	버전 관리									0
SCREEN-010	페이지 헤더	0.2	Custom	videoId 표기	VideoIdLabel								0
SCREEN-010	커밋 목록	1.0	List	커밋 목록			API-034	"""versions[]"""					0
SCREEN-010	커밋 목록	1.1	Checkbox	커밋 비교 선택(최대 2)									0
SCREEN-010	커밋 목록	1.2	Badge	최신									0
SCREEN-010	커밋 목록	1.3	Custom	버전 이력 로딩	Spinner				"""loading"""				0
SCREEN-010	변경 내용 (Diff)	2.0	Custom	라벨 변경 목록	DiffViewer		API-035	"""diffs[]"""					0
SCREEN-010	변경 내용 (Diff)	2.1	Alert	변경된 라벨이 없습니다					"""default"""				0
SCREEN-010	롤백	3.0	Button	롤백		secondary	API-036						0
SCREEN-010	롤백	3.1	Dialog	이 버전으로 롤백하시겠습니까?		destructive	API-036						0
SCREEN-011	헤더 (제목·현재시각·새로고침)	0.0	Heading	대시보드									0
SCREEN-011	헤더 (제목·현재시각·새로고침)	0.1	Custom	실시간 현재시각 1s 갱신	NowClock								47
SCREEN-011	헤더 (제목·현재시각·새로고침)	0.2	Button	새로고침		secondary							57
SCREEN-011	KPI 카드 그리드 (역할별)	1.0	Stat	처리 대기			API-055						26
SCREEN-011	KPI 카드 그리드 (역할별)	1.1	Stat	처리 완료			API-055						28
SCREEN-011	KPI 카드 그리드 (역할별)	1.2	Stat	내 작업			API-055						34
SCREEN-011	KPI 카드 그리드 (역할별)	1.3	Stat	반려 건수			API-055						27
SCREEN-011	KPI 카드 그리드 (역할별)	1.4	Skeleton	로딩 ×3|4									29
SCREEN-011	데이터 개수 카드 (이미지·영상, 이벤트 6종 분포)	2.0	Card	이미지 데이터 개수			API-055						97
SCREEN-011	데이터 개수 카드 (이미지·영상, 이벤트 6종 분포)	2.1	Card	영상 데이터 개수			API-055						63
SCREEN-011	데이터 개수 카드 (이미지·영상, 이벤트 6종 분포)	2.2	List	이벤트 6종 분포 FALL/VIOLENCE/TRAFFIC_ACCIDENT/ABNORMAL_BEHAVIOR/FLOOD/WILDFIRE								"[""FALL"", ""VIOLENCE"", ""TRAFFIC_ACCIDENT"", ""ABNORMAL_BEHAVIOR"", ""FLOOD"", ""WILDFIRE""]"	30
SCREEN-011	최근 완료 영상 테이블	3.0	Table	CCTV명/이벤트/길이/완료일			API-042						39
SCREEN-011	최근 완료 영상 테이블	3.1	Badge	EventTypeBadge 이벤트 배지									28
SCREEN-011	최근 완료 영상 테이블	3.2	Skeleton	로딩									15
SCREEN-011	내 작업 현황 테이블 (WORKER 한정)	4.0	Table	영상/상태/진행률			API-072						44
SCREEN-011	내 작업 현황 테이블 (WORKER 한정)	4.1	Badge	StatusBadge 작업 상태									0
SCREEN-011	내 작업 현황 테이블 (WORKER 한정)	4.2	Progress	ProgressBar 진행률									34
SCREEN-011	내 작업 현황 테이블 (WORKER 한정)	4.3	Skeleton	로딩									16
SCREEN-011	에러 상태 배너	5.0	Alert	대시보드 정보를 불러올 수 없습니다		destructive							33
SCREEN-012	헤더 (제목·역할 배지·새로고침)	0.0	Heading	작업 목록									0
SCREEN-012	헤더 (제목·역할 배지·새로고침)	0.1	Badge	현재 역할: 검수자/작업자								"[""검수자"", ""작업자""]"	23
SCREEN-012	헤더 (제목·역할 배지·새로고침)	0.2	Button	새로고침									44
SCREEN-012	검색·필터 폼 (TaskFilters)	1.0	Input	영상명/작업자명									31
SCREEN-012	검색·필터 폼 (TaskFilters)	1.1	Select	이벤트: 전체/동적 이벤트 유형									209
SCREEN-012	검색·필터 폼 (TaskFilters)	1.2	Select	상태: 전체/미배정(REVIEWER)/대기/진행중/검수대기/완료/반려								"[""전체"", ""미배정(REVIEWER)"", ""대기"", ""진행중"", ""검수대기"", ""완료"", ""반려""]"	41
SCREEN-012	검색·필터 폼 (TaskFilters)	1.3	Select	작업자			API-001						54
SCREEN-012	검색·필터 폼 (TaskFilters)	1.4	Button	조회		primary							0
SCREEN-012	검색·필터 폼 (TaskFilters)	1.5	Button	초기화		secondary							23
SCREEN-012	KPI 카드 (REVIEWER 5종 서버집계 / WORKER 4종 클라이언트집계)	2.0	Stat	REVIEWER 5카드 — 전체/미배정/작업중/검수요청/반려			API-136						145
SCREEN-012	KPI 카드 (REVIEWER 5종 서버집계 / WORKER 4종 클라이언트집계)	2.1	Stat	WORKER 4카드 — 전체/진행중/검수대기/반려									74
SCREEN-012	일괄 배정 액션바 (REVIEWER, 1건+ 선택 시)	3.0	Badge	N개 선택됨									21
SCREEN-012	일괄 배정 액션바 (REVIEWER, 1건+ 선택 시)	3.1	Button	선택 해제		ghost							30
SCREEN-012	일괄 배정 액션바 (REVIEWER, 1건+ 선택 시)	3.2	Button	N개 일괄 배정		primary							39
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.0	Checkbox	현재 페이지 전체 선택									29
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.1	Table	선택/영상명/이벤트/상태/작업자/검수자/액션			API-073						86
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.2	Button	배정		ghost							50
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.3	Button	재배정		ghost							56
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.4	Button	작업		ghost							47
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.5	Button	마킹		ghost							51
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.6	Button	이력		ghost							33
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.7	Pagination	페이지네이션									67
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.8	Skeleton	로딩									19
SCREEN-012	작업 목록 테이블 + 페이지네이션	4.9	Custom	배정된 작업이 없습니다	EmptyState								0
SCREEN-012	작업 배정 모달 (AssignModal)	5.0	Custom	영상 정보 / 대상 영상 bulk	VideoInfoBox								12
SCREEN-012	작업 배정 모달 (AssignModal)	5.1	Select	작업자 *			API-002						43
SCREEN-012	작업 배정 모달 (AssignModal)	5.2	Select	검수자			API-001						69
SCREEN-012	작업 배정 모달 (AssignModal)	5.3	Button	취소		outline							0
SCREEN-012	작업 배정 모달 (AssignModal)	5.4	Button	저장 / N건 일괄 배정		primary	API-070						76
SCREEN-012	배정 이력 Drawer (HistoryDrawer)	6.0	Custom	대상 작업 영상명	TargetTaskBox								0
SCREEN-012	배정 이력 Drawer (HistoryDrawer)	6.1	Timeline	배정 이력			API-072					"[""ASSIGN"", ""REASSIGN"", ""SUBMIT"", ""APPROVE"", ""REJECT""]"	72
SCREEN-012	배정 이력 Drawer (HistoryDrawer)	6.2	Button	닫기		ghost							0
SCREEN-012	배정 이력 Drawer (HistoryDrawer)	6.3	Skeleton	로딩									0
SCREEN-012	배정 이력 Drawer (HistoryDrawer)	6.4	Custom	이력이 없습니다	EmptyState								0
SCREEN-018	검수 현황 KPI	0.0	Card	검수 대기									39
SCREEN-018	검수 현황 KPI	0.1	Card	검수중									39
SCREEN-018	검수 현황 KPI	0.2	Card	승인									37
SCREEN-018	검수 현황 KPI	0.3	Card	반려									31
SCREEN-018	검색·상태 필터	1.0	Input	영상명 / 작업자명				"""keyword"""			검색어를 입력하세요		0
SCREEN-018	검색·상태 필터	1.1	Select	상태				"""statusFilter"""				"[""전체"", ""검수 대기"", ""검수중"", ""승인"", ""반려""]"	0
SCREEN-018	검색·상태 필터	1.2	Button	조회		primary							0
SCREEN-018	검색·상태 필터	1.3	Button	초기화		ghost							17
SCREEN-018	검수 목록 테이블	2.0	Table	검수 목록									0
SCREEN-018	검수 목록 테이블	2.1	Badge	이벤트 유형									32
SCREEN-018	검수 목록 테이블	2.2	Badge	상태									57
SCREEN-018	검수 목록 테이블	2.3	Button	검수시작 ▶ / 이어서 검수 / 결과보기 ▶		primary							34
SCREEN-018	검수 목록 테이블	2.4	Pagination	페이지네이션									26
SCREEN-019	검수 헤더 (영상 메타·상태)	0.0	Button	검수 페이지 닫기		ghost							26
SCREEN-019	검수 헤더 (영상 메타·상태)	0.1	Heading	영상명 + #videoId / 작업자·제출일				"""review.cctvName"""					0
SCREEN-019	검수 헤더 (영상 메타·상태)	0.2	Custom	Frame N/total	FrameCounter								0
SCREEN-019	검수 헤더 (영상 메타·상태)	0.3	Custom	검수 상태 배지	StatusBadge			"""review.status"""					0
SCREEN-019	라벨 캔버스 (읽기 전용)	1.0	Custom	Konva 읽기 전용 캔버스	LabelCanvas			"""frameList.frames[currentFrameIdx]"""					0
SCREEN-019	라벨 캔버스 (읽기 전용)	1.1	Custom	읽기 전용	ReadOnlyBadge								0
SCREEN-019	객체 목록 (카테고리 트리)	2.0	List	카테고리 그룹 트리				"""frameList.frames[currentFrameIdx].labels"""					0
SCREEN-019	객체 목록 (카테고리 트리)	2.1	Custom	라벨 타입 배지	TypeBadge								0
SCREEN-019	객체 속성 패널	3.0	Card	선택 객체 속성 dl				"""selectedLabel"""					0
SCREEN-019	객체 속성 패널	3.1	Custom	객체를 선택하세요	EmptyState								0
SCREEN-019	검수 메모 패널 (이슈·의견)	4.0	Switch	이슈 추가 모드 토글									0
SCREEN-019	검수 메모 패널 (이슈·의견)	4.1	List	이슈 목록(BE+pending)				"""issues"""					0
SCREEN-019	검수 메모 패널 (이슈·의견)	4.2	Custom	첨부파일 (준비 중)	AttachPlaceholder				"""disabled"""				0
SCREEN-019	검수 메모 패널 (이슈·의견)	4.3	Textarea	검수 의견							검수 전반에 대한 의견을 입력하세요 (최대 200자)		0
SCREEN-019	프레임 타임라인	5.0	Custom	검수 진행률	ProgressBar								0
SCREEN-019	프레임 타임라인	5.1	List	프레임 썸네일 스트립				"""frameList.frames"""					0
SCREEN-019	검수 액션 바 (승인·반려)	6.0	Button	반려		destructive	API-015						0
SCREEN-019	검수 액션 바 (승인·반려)	6.1	Button	승인		primary	API-014						0
SCREEN-019	검수 액션 바 (승인·반려)	6.2	Dialog	승인 확정 ConfirmDialog			API-014						0
SCREEN-019	검수 액션 바 (승인·반려)	6.3	Dialog	반려 처리 RejectModal			API-015						0
SCREEN-020	헤더·작업자 선택	0.0	Heading	작업자 통계									0
SCREEN-020	헤더·작업자 선택	0.1	Custom	조회 대상 작업자명	WorkerNameSub			"""workerStat.workerName"""					0
SCREEN-020	헤더·작업자 선택	0.2	Select	작업자 선택					"""default"""				101
SCREEN-020	KPI 4종	1.0	Stat	완료 작업				"""workerStat.completed"""					0
SCREEN-020	KPI 4종	1.1	Stat	진행 중				"""workerStat.inProgress"""					0
SCREEN-020	KPI 4종	1.2	Stat	반려				"""workerStat.rejected"""					0
SCREEN-020	KPI 4종	1.3	Stat	총 라벨 수				"""workerStat.labelCount"""					0
SCREEN-020	보조 지표 (오토라벨 비율·반려율)	2.0	Stat	오토라벨 비율				"""workerStat.autoLabelRate"""					0
SCREEN-020	보조 지표 (오토라벨 비율·반려율)	2.1	Stat	반려율				"""workerStat.rejectRate"""					0
SCREEN-020	일별 작업량 차트 (최근 30일)	3.0	Chart	일별 완료 바차트				"""workerStat.dailyCompletion"""					0
SCREEN-020	월별 통계 표 (최근 12개월)	4.0	Table	월별 통계				"""workerStat.monthly"""					0
SCREEN-021	① 헤더 + 리포트 다운로드	0.0	Heading	전체 구축 현황									0
SCREEN-021	① 헤더 + 리포트 다운로드	0.1	Button	리포트 다운로드		primary	API-058						46
SCREEN-021	② 누적 학습데이터 2카드	1.0	Stat	이미지 학습데이터 (장)				"""overall.cumulativeImageCount"""					0
SCREEN-021	② 누적 학습데이터 2카드	1.1	Stat	영상 학습데이터 (건)				"""overall.cumulativeVideoCount"""					0
SCREEN-021	③ 처리 현황 5카드	2.0	Stat	전체									0
SCREEN-021	③ 처리 현황 5카드	2.1	Stat	완료									0
SCREEN-021	③ 처리 현황 5카드	2.2	Stat	처리중									0
SCREEN-021	③ 처리 현황 5카드	2.3	Stat	실패									0
SCREEN-021	③ 처리 현황 5카드	2.4	Stat	대기									0
SCREEN-021	④ 일별 전체 작업량 막대차트	3.0	Chart	일별 전체 작업량 (최근 30일)				"""overall.dailyCounts"""					34
SCREEN-021	⑤ 이벤트 유형 분포	4.0	Chart	이벤트 분포 파이차트									39
SCREEN-021	⑤ 이벤트 유형 분포	4.1	List	이벤트 분포 가로막대 (6종 고정)				"""overall.eventDistribution"""					35
