screen	idx	name	role	layout	n_comp	refs_apis	refs_features	desc_len
SCREEN-022	1	Step 1: 처리 종류 선택 (단일 선택)	main	grid	5	API-092	FEAT-004	424
SCREEN-022	2	Step 2: 대상 영상 선택 (단일 선택)	main	list	9	API-042	FEAT-004	395
SCREEN-022	3	최근 요청 이력	side	grid	3	API-059	FEAT-004	271
SCREEN-022	4	고정 하단 액션 바	footer	stack	4	API-060;API-092	FEAT-004	339
SCREEN-023	0	① 페이지 헤더	header	stack	3	API-061		201
SCREEN-023	1	② 작업 요약 카드	main	detail	2	API-061		195
SCREEN-023	2	③ 잡 상태 배너 / 라벨 무결성	hero	stack	4	API-061		206
SCREEN-023	3	④ 영상별 결과 섹션	main	tabs	4	API-061		216
SCREEN-023	4	⑤ 활용 결정 카드(DecisionCard)	main	detail	6	API-062;API-063		692
SCREEN-023	5	⑥ 로딩 / 에러 / 잘못된 잡 ID	main	stack	2	API-061		118
SCREEN-024	0	페이지 헤더 (사용자 수 요약)	header	stack	2	API-001		164
SCREEN-024	1	검색·역할·상태 필터	filter	form	5	API-001		205
SCREEN-024	2	사용자 목록 테이블	main	list	5	API-001		259
SCREEN-024	3	활성/비활성 전환 확인 다이얼로그	modal	detail	3	API-004		173
SCREEN-024	4	사용자 정보 수정 모달	modal	form	5	API-004		189
SCREEN-025	0	페이지 헤더	header	stack	1			108
SCREEN-025	1	편집 가능 — DB 영속화 (설정 카드 3종)	main	grid	11	API-068;API-069	FEAT-007	556
SCREEN-025	2	실시간 모니터링 — 외부 연동 헬스	side	list	2	API-090		194
SCREEN-025	3	위험 액션 (placeholder)	main	stack	5			142
SCREEN-026	0	페이지 헤더 · 프리셋 추가	header	stack	3			148
SCREEN-026	1	프리셋 카드 그리드	main	grid	7	API-037		482
SCREEN-026	2	페이지네이션	footer	stack	1			103
SCREEN-026	3	프리셋 편집 모달	modal	form	7	API-038;API-039		736
SCREEN-026	4	프리셋 삭제 확인	modal	detail	3	API-040		99
SCREEN-027	0	파일 + 메타 입력 폼	main	form	13			637
SCREEN-027	1	실행 결과 + 파이프라인 상태	side	detail	8	API-043		429
SCREEN-030	0	페이지 헤더	header	stack	2	API-097		62
SCREEN-030	1	검색 필터	filter	stack	3	API-095		83
SCREEN-030	2	게시글 테이블	main	list	2	API-095		111
SCREEN-031	0	상단 액션 바	header	stack	5	API-100;API-101		150
SCREEN-031	1	게시글 본문	main	detail	7	API-096		226
SCREEN-031	2	첨부파일 다운로드	footer	list	2	API-107		184
SCREEN-031	3	공지 수정 모달 (REVIEWER)	modal	form	7	API-098;API-106;API-108		189
SCREEN-031	4	삭제 확인 모달 (REVIEWER)	modal	stack	3	API-099		139
SCREEN-032	0	페이지 헤더	header	stack	1			98
SCREEN-032	1	신고 상태 필터 탭	filter	stack	2	API-109		142
SCREEN-032	2	신고 목록 테이블	main	list	4	API-094;API-109		445
SCREEN-035	0	페이지 헤더 + 라벨 추가	header	stack	3	API-024		89
SCREEN-035	1	라벨 마스터 테이블	main	list	4	API-024		211
SCREEN-035	2	라벨 추가/수정 모달	modal	form	7	API-025;API-026		162
SCREEN-035	3	삭제 확인 모달	modal	stack	3	API-027		119
SCREEN-035	4	속성 정의 패널 (LabelAttrDefPanel)	side	list	4	API-028;API-029;API-030;API-031		146
