사업표준단어명,영문약어,영문명,설명,형식단어여부,도메인분류,이음동의어,금칙어,관리기관,변경구분,변경일,출처
조회,INQ,Inquiry,照會. 어떠한 사항이나 내용이 맞는지 관계되는 기관 등에 알아보는 일,N,,,,,,,
종료,END,End,終了. 어떤 행동이나 일 따위가 끝남. 또는 행동이나 일 따위를 끝마침,N,,,,,,,
종류,KND,Kind,種類. 사물의 부문을 나누는 갈래,N,,,,,,,
종횡,ASPRT,Aspect,縱橫. 세로와 가로를 한데 이르는 말,N,,,,,,,
좌우,PAN,Pan,左右. 왼쪽과 오른쪽,N,,,,,,,
좌표,CRD,Coordinate,Coordinate. GIS에서 지구 상의 위치를 수치적으로 표현,N,,,,,,,
주기,CYCL,Cycle,어떤 작업이나 현상이 반복되는 간격 또는 주된 반복 시간 단위,N,,,,,,,
주소,ADDR,Address,"住所. 사람이 살고 있는 곳이나 기관, 회사 따위가 자리 잡고 있는 곳을 행정 구역으로 나타낸 이름",Y,주소,,,,,,
준비,RDY,Ready,Ready. I'm ready 통보 — chunk 처리 준비 완료.,N,,,,,,,
중계,RELY,Relay,신호나 데이터를 다른 경로로 전달하는 행위 또는 장치,N,,,,,,,
증강,AUG,Augmentation,데이터 증강 (Data Augmentation). KLID-BM 증강유형코드(AUG_TYPE_CD) 패턴 기반.,N,,,,,,,KLID-PT D005 ERD-006 (KLID-BM 패턴)
진입,ENTR,Entry,Entry. 영상 진입 경로(source_type) — background/cctv_event/manual_upload/ai_generated/selective.,N,,,,,,,
집합,GRP,Group Gathering,集合. 한 곳에 모임. 집합교육(여러 인원이 한 자리에 모여 받는 교육)에서 사용. 행안부 사전의 '집합'(건물·투자)과 의미 구분되는 사업 자체 단어.,N,,,,,,,발주처 관제인력 교육현황/수요 조사 양식
차량,VEH,Vehicle,車輛. 자동차 등 육상 운송 수단,N,,,,,,,
차원,DIM,Dimension,,N,명,,,,,,D003 ERD-008 정합 (resource_stats_unified.dim1~3)
참조,REF,Reference,Reference. 외부 객체·경로를 가리키는 참조. blob_ref 등.,N,,,,,,,
처리,PRCS,Process,處理. 사무나 사건 따위를 절차에 따라 정리하여 치르거나 마무리를 지음,N,,,,,,,
첨부,ATCH,Attachment,添附. 안건이나 문서 따위를 덧붙임,N,,,,,,,
청크,CHNK,Chunk,Chunk. 데이터 분할 단위. 영상 수집 ADR-055에서 30건 단위 chunk_batch_id 식별자로 사용.,N,,,,,,,
청크,CHUNK,Chunk,하나의 의미를 가지는 말의 덩어리,N,,,,,,,
촬영,SHT,Shooting,"撮影. 사람, 사물, 풍경 따위를 사진이나 영화로 찍음",N,,,,,,,
최근,RCNT,Recent,最近. 얼마 되지 않은 지나간 날부터 현재 또는 바로 직전까지의 기간,N,,,,,,,
최소,MIN,Minimum,"最少. 수나 양, 정도 따위가 가장 적음",N,,,,,,,
최신,LATEST,Latest,最新. 현재 기준 가장 최근의 상태,N,,,,,,,
최종,LAST,Last,最終. 맨 나중,N,,,,,,,
최초,FST,First,"最初. 맨 처음”, “맨 앞서 있음”, “처음으로 행해진 것 또는 발생한 것",N,,,,,,,
추출,EXTR,Extraction,"抽出. 전체 속에서 어떤 물건, 생각, 요소 따위를 뽑아냄. 모집단(母集團)에서 표본을 뽑아내는 일",N,,,,,,,
출처,SRC,Source,出處.  사물이나 말 따위가 생기거나 나온 근거,N,,,,,,,
커서,CURSOR,Cursor,"Cursor. 페이지네이션·증분 동기화에서 위치 마커. (last_received_at, last_video_id) 복합 cursor 직렬화 등.",N,,,,,,,
코덱,CDC,Codec,"Codec. 데이터를 더 빠르게 전송하기 위해 압축하고, 받은 데이터를 복원하는 장치 또는 프로그램",N,,,,,,,
코드,CD,Code,Code. 정보를 나타내기 위한 기호 체계,Y,코드,,,,,,
크기,SZ,Size,"크기. 사물의 넓이, 부피, 양 따위의 큰 정도",Y,수,,,,,,
클립,CLIP,Clip,잘라낸 영상 또는 오디오의 조각,N,,,,,,,
타겟,TGT,Target,Target. 처리·검증 대상. KLID 2차에서 VLM 검증 대상 여부(vlm_tgt_yn) 등에 사용.,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
탈퇴,WHDWL,Withdrawal,脫退. 관계하고 있던 조직이나 단체 따위에서 관계를 끊고 물러남,N,,,,,,,
토큰,TOKEN,Token,인증되어 접근 가능하도록 한 접근용 값,N,,,,,,,
통계,STATS,Statistics,統計. 한데 몰아서 어림잡아 계산함. 어떤 현상을 종합적으로 한눈에 알아보기 쉽게 일정한 체계에 따라 숫자로 나타냄,N,,,,,,,
통신,COMM,Communication,정보를 주고받는 행위 또는 기술,N,,,,,,,
통합,INTG,Integration,여러 요소를 하나로 합침. 통합플랫폼·통합관제 등 표현.,N,,,,,,,KLID-2 사업 자체
트랙,TRCK,Track,"Track. 길, 흔적",N,,,,,,,
파일,FILE,File,File. 여러 가지 서류를 한데 모아 매어 두게 만든 도구. 또는 그렇게 매어 둔 묶음. 하나의 단위로서 처리되는 서로 관련 있는 레코드의 집합,N,,,"화일, FILE",,,,
패딩,PAD,Padding,Padding. 특정 길이·형식을 맞추기 위해 채움. KLID 2차의 seq zero-padding 자릿수(pad_len) — 이벤트ID/클립ID는 5자리 패딩(00001~99999).,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
포맷,FMT,Format,데이터나 파일의 구조 및 형식,N,,,,,,,
포함,INCL,Inclusion,包含. 어떤 사물이나 현상 가운데 함께 들어 있거나 함께 넣음,N,,,,,,,
폴대,POLE,Pole,CCTV나 센서를 설치하기 위한 구조물,N,,,,,,,
폴링,POLL,Polling,서버·외부 시스템의 상태나 비동기 처리 결과를 일정 주기로 반복 조회하는 방식.,N,,,,,,,KLID-저작도구 표준용어 3계층 정합 (2026-07-10)
표준,STD,Standard,標準. 사물의 정도나 성격 등을 알기 위한 근거나 기준,N,,,,,,,
푸시,PUSH,Push,Push. 송신자가 능동적으로 데이터를 전송. ADR-054 중계서버 chunk push.,N,,,,,,,
피처,FTR,Feature,,N,명,,,,,,D003 ERD-008 정합 (gis_layer_features.feature_kind)
필요,NEED,Need,"必要. 반드시 있어야 하거나 꼭 요구되는 것, 없어서는 안 되는 것",N,,,,,,,
필터,FLTR,Filter,특정 조건에 따라 데이터를 거르는 기능 또는 장치,N,,,,,,,
학습,LRN,Learning,學習. 배워서 익힘,N,,,,,,,
한도,QUOTA,quota / limit,호출 허용 상한. 일/월/분당 호출한도(daily/monthly/rate_limit quota).,N,,,,,,,
함체,ENCL,Enclosure,函體. 전기/전자 장비 등을 보호하는 외부 케이스,N,,,,,,,
해시,HASH,Hash,해시 함수의 결과 값. 단방향 변환된 고정 길이 문자열 (식별·검증용).,N,,,,,,,KLID-2 사업 자체
행위,ACTION,Action,行爲. 사람이 의지를 가지고 하는 짓,N,,,,,,,
행정,PBADMS,Public Administration,行政. 정치나 사무를 행함,N,,,,,,,
허용,ALW,allow,접근 허용. 허용 IP 목록·허용 지자체 범위(allowlist/allowed scope).,N,,,,,,,
현재,CRRT,Current,Current. 현재. current_cursor.,N,,,,,,,
현행,CRNT,Current,現行. 현재 시행되고 있는 것. 약관 등의 현재 유효 버전 식별용.,N,,,,,,,
현황,PRST,Present Situation,現況. 현재의 상황,N,,,,,,,
협약,AGRM,agreement,외부 데이터 제공을 위한 기관 간 사전 협약. 협약기관=external consumer org.,N,,,,,,,
형식,FRM,Formality,形式. 사물이 외부로 나타나 보이는 모양,N,,,,,,,
형태,SHP,Shape,形態. 어떠한 구조나 전체를 이루고 있는 구성체가 일정하게 갖추고 있는 모양,N,,,,,,,
호출,CALL,call,외부 API 호출 행위. 호출 이력·호출IP·호출한도.,N,,,,,,,
화각,FOV,Field of View,,N,명,,,,,,D003 ERD-008 정합 (resource_cctvs.hfov_deg/vfov_deg)
화소,PXL,Pixel,이미지를 구성하는 최소 단위,N,수,,,,,,
화재,FIR,Fire,火災. 불이 나서 일어나는 재해,N,,,,,,,
활동,ACTV,Activity,活動. 몸을 움직여 행동함,N,,,,,,,
활용,UTLZ,utilization,데이터 활용. 협약 클라이언트의 활용용도(purpose).,N,,,,,,,
회사,CO,Company,會社. 상업·공업·금융 따위의 영리 목적을 위하여 자본을 출자하여 설립한 단체 또는 조직.,N,,,,,,,
회선,LINE,Line,"回線. 전기 통신에서, 두 지점 사이에 정보를 전달하기 위하여 설치된 전기적 회로",N,,,,,,,
회신,RPLY,Reply,"回信. 편지, 전신, 전화 따위로 회답을 함",N,,,,,,,
회전,RTT,Rotation,키·토큰의 주기적 교체. 보안 강화를 위해 이전 값을 무효화하고 새 값으로 갱신.,N,,,,,,,KLID-2 사업 자체
가이드,GUIDE,Guide,화면·기능 사용 안내 문서. 페이지 가이드(page_guides)의 제목·본문 구성 단어. gov '안내(GD)'와 별개 개념.,N,,,,,,,D006 ERD-014 운영·감사 page_guides
게시물,PST,Post,揭示物. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글,N,,,,,,,
계량기,MSINS,Measuring Instrument,計量器. 수량을 헤아리는 데 쓰는 기구,N,,,,,,,
대역폭,BW,Bandwidth,통신 회선이 데이터를 전송할 수 있는 최대 용량,N,수,,,,,,
데이터,DATA,Data,사실이나 개념 등을 수치나 문자 형태로 나타낸 정보,N,,,,,,,
도움말,HLP,Help,도움말. 말로 거들거나 깨우쳐 주어서 도움,N,,,,,,,
디스크,DSK,Disk,저장 장치 일반. gov 사전의 '하드디스크(HDD)'와 별개의 일반 디스크 단어.,N,,,,,,,KLID-2 사업 자체
레이어,LAYER,Layer,,N,명,,,,,,D003 ERD-008 정합 (gis_layers/gis_layer_features)
로그인,LGN,Login,Login. 다중 사용자 시스템을 사용하기 위하여 컴퓨터에 사용자임을 알리는 일,N,,,,,,,
리포트,RPT,Report,정보를 정리하여 문서 형태로 표현한 결과물,N,,,,,,,
마지막,LAST,,시간 순서상 가장 마지막/최근을 의미하는 한정 단어. gov·program 표준에 단독 단어 미존재하여 2차 신규 등록.,N,,,,,,,KLID 2차 D005 ERD-012 (user_auth_methods/user_ip_allowlist last_used_at)
메서드,MTHD,method,HTTP 메서드(GET/POST 등). 호출 이력의 http_mthd.,N,,,,,,,
메시지,MSG,Message,어떤 사실을 알리거나 주장하거나 경고하기 위하여 보내는 전언(傳言).,N,,,,,,,
메트릭,MTRC,Metric,시스템 운영 지표. CPU·메모리·디스크·네트워크 등 측정 데이터 일반.,N,,,,,,,KLID-2 사업 자체
미국산,USA,USA Made,미국에서 생산된 물건이나 제품,N,,,,,,,
바이트,BYTE,Byte,Byte. 데이터 크기 단위. total_size_bytes 등.,N,,,,,,,
비상벨,EMGBELL,Emergency Bell,"非常鈴. 화재·범죄·재난 등 비상 상황 발생 시
경보나 도움을 요청하기 위해 설치한 벨(종/알람)",N,,,,,,,
비식별,ANONY,Anonymized,개인 정보로 보이는 화면은 마스킹 처리,N,,,,,,,
사용자,USER,User,使用者. 사람을 부리거나 물건을 쓰는 사람. 컴퓨터를 사용하는 사람,N,,사용인,유저,,,,
샘플링,SMP,Sampling,전체 데이터 중에서 대표성을 가지도록 일부를 추출하는 과정 또는 기법,N,,,,,,,
생성형,GEN,Generative,새로운 콘텐츠를 만들어내는 형태,N,,,,,,,
수정자,MDFR,Modifier,修正者. 바로 잡아 고친 사람,N,,수정인,,,,,
스냅샷,SNPSH,snapshot,특정 시점의 데이터 사본. 외부 제공용 일배치 공개 스냅샷(cctv_open_snapshot) 등.,N,,,,,,,
스피커,SPKR,Speaker,"Speaker. 라디오나 텔레비전, 컴퓨터, 휴대전화, 방송장치 따위에서
전기 신호를 소리로 바꾸어 내는 장치",N,,,,,,,
승인자,AUTZR,Authorizer,承認者. 승인을 하는 권한을 가졌거나 승인을 한 사람이나 조직,N,,,,,,,
시계열,TMSR,Timeseries,Timeseries. 시간 순으로 정렬된 데이터 계열. 프레임/시간별 메타 등.,N,,,,,,,
시군구,SGG,Si gun gu,시군구,N,,,,,,,
시스템,SYS,System,System. 필요한 기능을 실현하기 위하여 관련 요소를 어떤 법칙에 따라 조합한 집합체,N,,,,,,,
시퀀스,SQNC,Sequence,Sequence. 순차 채번 단위. Oracle SEQUENCE 유사 채번 기능. KLID 2차의 TB_ID_SEQUENCE — 이벤트ID/클립ID 채번 (REQUIRES_NEW + SELECT FOR UPDATE). 약어 SQNC 사용 — gov 순서(SEQ)와 약어 충돌 회피.,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
시크릿,SCRT,Secret,인증 비밀값. 평문 저장 금지 — vault/환경변수 참조 키만 보관.,N,,,,,,,KLID-2 D007 ERD-007
신용장,LC,Letter Of Credit,信用狀. 은행이 거래하는 편의 의뢰에 의하여 발행하는 신용 보증 문서. 수입업자에 대하여 발행하는 상업 신용장과 해외여행자에 대하여 발행하는 여행 신용장이 있다,N,,,,,,,
썸네일,THMB,Thumbnail,Thumbnail. 사진을 탐색하면서 알아보기 쉽게 하려고 페이지 전체의 레이아웃을 볼 수 있도록 원래의 커다란 이미지를 작은 이미지로 줄여 화면에 띄운 사진의 축소판,N,,,,,,,
쓰레기,GBG,Garbage,"쓸모없어 버리는 물건, 폐기물",N,,,,,,,
아이디,ID,Id,"ID. 인터넷에서, 이용자의 신분을 증명할 수 있는 고유의 체계",Y,명,ID,,,,,
안내판,INFBD,Information Board,"案內板. 길, 건물, 시설 따위에서 위치나 정보를 알리는 내용이 적혀 있는 판",N,,,,,,,
액세스,ACS,Access,JWT 액세스 토큰 분류 접두어. 짧은 만료 시간의 인증용 토큰.,N,,,,,,,KLID-2 사업 자체
어린이,CHD,Child,兒童. 미성년의 아이,N,,,,,,,
업로더,UPLDR,Uploader,Uploader. 업로드 수행자. selective_collection_responses.uploader_user_id.,N,,,,,,,
업로드,ULD,Upload,Upload. 컴퓨터 통신망을 통하여 다른 컴퓨터 시스템에 파일이나 자료를 전송하는 일,N,,,,,,,
오프셋,OFFSET,Offset,"Offset. 기준점으로부터의 거리·위치. KLID 2차의 TUS 프로토콜 업로드 진행 위치(upload_offset, bytes 단위) — 청크 업로드 재개 시 사용.",N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
이미지,IMG,Image,"Image. 시각적으로 표현하기 위하여 제공된 그래픽 콘텐츠. 이미지는 픽셀의 조합으로 구성된 모든 전자식 그래픽 콘텐츠로, 다양한 그림판 프로그램이나 사진 조작 수단을 이용하여 생성할 수 있음",N,,,,,,,
이벤트,EVNT,Event,특정 조건이나 트리거에 의해 발생하는 상황이나 상태 변화,N,,,,,,,
인증서,CRTF,Certificate,認證書. 문서나 행위가 정당한 절차로 이루어졌음을 인정하여 증명하는 증서,N,,,,,,,
일본산,JPN,Japanese Made,일본에서 생산된 물건이나 제품,N,,,,,,,
임계값,THLD,Threshold,판정 기준값. VLM임계값 등 분기 결정에 사용.,Y,수,,,,,,KLID-2 사업 자체
자동차,CR,Car,동기를 장치하여 그 동력으로 바퀴를 굴려서 철길이나 가설된 선에 의하지 아니하고 땅 위를 움직이도록 만든 차,N,,,,,,,
작성자,WRTR,Writer,"作成者. 서류, 원고 등을 만든 사람",N,,,,,,,
재시도,RTY,Retry,명령 실행을 정상적으로 끝내지 못한 경우에 이것이 일시적인 오작동인지 아닌지를 식별하기 위하여 같은 상태에서 이상이 발생한 명령을 다시 실행시켜 보는 일,N,,,,,,,
재전송,RTRSM,Retransmission,再電送. 다시 전송함,N,,,,,,,
저장소,STRG,Storage,Storage. 데이터 보관 장소. NAS·블롭 스토리지 URI 등.,N,,,,,,,
적외선,IR,Infrared,"赤外線. 가시광선보다 파장이 긴 빛, 열선 등",N,,,,,,,
전광판,EDB,Electronic Display Board,"電光板. 전기적으로 조명이나 LED 등의 빛을 이용해 문자나 그림, 영상 정보를 표시하는 게시판",N,,,,,,,
접두사,PREFIX,Prefix,"接頭辭. 단어·식별자의 앞에 붙는 부분. KLID 2차의 ID 형식 prefix — EVT(이벤트), CLP(클립) 등. TB_ID_SEQUENCE.prefix 컬럼.",N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
정확도,ACC,Accuracy,"正確度. AI 모델·센서 등이 정답에 가깝게 판정한 정도. KLID 2차 VLM 검증 결과의 핵심 지표 (DECIMAL 0.0000~1.0000 또는 0~100%). tp_crtr_acc(정탐 기준), fp_crtr_acc(오탐 기준), acc(개별 결과 정확도) 등.",N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
주야간,DAY_NGT,Day Night,영상 촬영 시간대 구분 (주간/새벽/야간). D001 학습데이터 특화 단어.,N,,,,,,,KLID-PT D001 ERD-001
중국산,CHN,Chinese Made,중국에서 생산된 물건이나 제품,N,,,,,,,
지능형,INTL,Intelligent,"知能型. 지능이 있거나, 지능적으로 동작하는 형태",N,,,,,,,
챌린지,CHLG,Challenge,인증·보안 절차에서 발급된 Challenge 값,N,,,,,,,
체크섬,CHKSUM,Checksum,파일 무결성 검증용 해시값. AI 모델 버전 멱등성 식별.,N,,,,,,,KLID-PT D006 ERD-004
초기화,INIT,Initialization,"初期化. 컴퓨터 프로그램의 최초 또는 미리 정해진 계수, 스위치, 주소, 기억 장치의 내용 등을 ‘0’ 또는 기타의 값으로 설정하는 것",N,,,,,,,
카메라,CAM,Camera,영상 촬영 장비,N,,,,,,,
통신사,TLCMCO,Telecommunication Company,"通信社. 신문사나 잡지사, 방송 사업체 따위에 뉴스를 제공하는 기관",N,,,,,,,
패키징,PKG,Packaging,데이터셋 버전을 배포 가능한 형태(아카이브)로 묶는 처리.,N,,,,,,,D004 ERD-010 학습데이터 물리모델
페이지,PAGE,Page,웹 화면의 개별 페이지. 페이지 가이드(page_guides) 식별 키 단위.,N,,,,,,,D006 ERD-014 정합
포인트,POINT,Point,"Point. (지점,위치) 특정한 지리적 또는 추상적 위치",N,,,,,,,
폴리곤,POLY,Polygon,,N,명,,,,,,"D003 ERD-008 정합 (resource_cctvs.view_polygon, PostGIS geometry)"
플랫폼,PLFM,Platform,Platform. 사용 기반이 되는 컴퓨터 시스템·소프트웨어,N,,,,,,,
해상도,RESL,Resolution,Resolution. 영상·이미지 가로×세로 픽셀 수. 예 1920x1080.,N,,,,,,,
호스트,HOST,Host,Host. 네트워크 접속 대상 서버의 식별자(IP 또는 도메인). host:port 형식 접속 정보의 host 부분. ERD 다수 테이블의 host / scnd_host 컬럼 사용.,N,,,,,,,KLID-2 ERD 단어표준화 엄격 검증 (F 분류)
확장자,EXT,Extension,擴張子. 파일 이름 끝에 붙어 파일의 종류나 형식을 구분하는 문자열,N,,,,,,,
가져오기,FETCH,Fetch,Fetch. 외부 시스템에서 조회·적재. fetched_at·fetch_status. Q3-b=A 결정으로 별도 단어 등록.,N,,,,,,,
개인정보,PRVC,Privacy,"個人情報. 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아볼 수 있는 정보(해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합하여 알아볼 수 있는 것을 포함한다)",N,,,,,,,
공간도형,GEOM,Geometry,,N,명,,,,,,"D003 ERD-008 정합 (resource_poles/cctvs/gis_layer_features.geom, PostGIS geometry)"
관제요령,MONMTH,Monitoring Method,管制要領. CCTV 관제 업무 수행 요령·방법. 희망 교육내용 항목. 사업 단어 관제 MON + 방법 MTHD 기반.,N,,,,,,,발주처 관제인력 교육수요 조사 양식
네트워크,NET,Network,,N,명,,,,,,D003 ERD-008 정합 (resource_cctvs.network_attrs)
다운로드,DWNLD,Download,파일 내려받기. 다운로드자·다운로드일시 등 행위 표현.,N,,,,,,,KLID-2 사업 자체
다이렉트,DRCT,Direct,직접 전송 모드. 중계 없이 곧바로 영상을 전송하는 경로.,N,,,,,,,KLID-2 사업 자체
로고젝터,LPJ,Logo Projector,"로고, 문자, 이미지 등 특정 문양을 렌즈와 광원을 이용해 바닥, 벽, 건물 외벽 등에 투사(Projection)하는 조명장치",N,,,,,,,
로그아웃,LGOT,Logout,로그인 상태를 종료하고 시스템 연결을 해제하는 일,N,,,,,,,
리프레시,RFSH,Refresh,JWT 리프레시 토큰 분류 접두어. 액세스 토큰 재발급용 장기 토큰.,N,,,,,,,KLID-2 사업 자체
모니터링,MNTR,Monitoring,Monitoring. 일정한 목적과 계획하에 상황이나 사건을 주의 깊게 살피거나 감시하는 것,N,,,,,,,
미리보기,PRVW,Preview,미리보기. 사용자가 편집하고 있는 텍스트와 도형 정보 등을 프린터에 인쇄하기 전에 화면을 통해서 인쇄될 모습을 미리 확인할 수 있도록 하는 기능,N,,,,,,,
비밀번호,PSWD,Password,"秘密番號. 은행이나 컴퓨터 시스템 따위에서, 보안을 위하여 미리 약정하여 쓰는 개인 고유의 문자열",Y,번호,패스워드,,,,,
비식별화,DE_IDNTF,De-identification,개인정보 비식별화 처리. KLID-BM 비식별화적용일시(DE_IDNTF_APLCN_DT) 패턴 기반.,N,,,,,,,KLID-PT D001 ERD-001 (KLID-BM 패턴)
사내번호,EXT_NO,Extension Number,회사 내부에서 각 부서나 자리로 연결되는 내선 번호,N,,,,,,,
서비스키,SVC_KEY,service key,외부 OpenAPI 인증용 발급 키(공공데이터포털 표준 serviceKey).,N,,,,,,,
세부종류,DTL_TP,Detail Type,보다 세분화된 범주의 유형,N,,,,,,,
스웨덴산,SWE,Swedish Made,스웨덴에서 생산된 물건이나 제품,N,,,,,,,
스테이지,STG,Stage,Stage. 하나의 과정 등을 여러 부분으로 나눈 단계,N,,,,,,,
업데이트,UPD,Update,데이터나 소프트웨어의 최신 상태로 변경,N,,,,,,,
에이전트,AGENT,Agent,특정 기능을 수행하는 프로그램·프로세스. 사용자 환경 정보를 식별하는 문자열을 의미,N,,,,,,,
우선순위,OOP,Order Of Priority,優先順位. 어떤 것을 먼저 차지하거나 사용할 수 있는 차례나 위치.,N,,,,,,,
일련번호,SN,Serial Number,一連番號. 일률적으로 연속되어 있는 번호,Y,일련번호,"순번, 연번",시퀀스,,,,
자체제작,SELF,Self Production,自體製作. 기관이 스스로 만들어 사용함. 사용교재 구분(자체제작 vs 상용)에서 사용.,N,,,,,,,발주처 관제인력 교육현황 조사 양식
재생시간,DURT,Duration,Duration. 영상·미디어 재생 길이(초 단위 기록).,N,,,,,,,
전화번호,TELNO,Telephone Number,사용자가 직접 통화에 사용하는 번호,N,,,,,,,
정규과정,RGCRS,Regular Course,正規課程. 정식 편성된 교육 과정. 희망 교육형태 구분(온라인 정규과정/비정규과정)에서 사용. 행안부 정규 RGLR + 강좌/과정 합성 개념.,N,,,,,,,발주처 관제인력 교육수요 조사 양식
지오코딩,GEOCD,Geocoding,,N,명,,,,,,D003 ERD-008 정합 (geocode_cache 테이블)
카테고리,CTGRY,Category,같은 성질을 가진 부류나 범위,N,,,,,,,
큐레이터,CURATOR,Curator,데이터셋을 구성·관리·검수하는 담당자.,N,,,,,,,D004 ERD-010 학습데이터 물리모델
타임아웃,TMOT,Timeout,外部 호출 등에서 응답 대기 제한 시간. connect/read timeout (ms).,N,,,,,,,KLID-2 D007 ERD-007
파라미터,PRM,parameter,요청 파라미터. 호출 이력의 req_params.,N,,,,,,,
페이로드,PYLD,Payload,요청·응답 본문 데이터. API/메시지 본체.,N,,,,,,,KLID-2 사업 자체
프로젝트,PJT,Project,Project. 연구·생산·개선을 위해 계획 또는 기획 된 일,N,,,,,,,
프롬프트,PROMPT,Prompt,"Prompt. 신호, 지시, 유도문, 또는 컴퓨터의 입력 대기 메시지",N,,,,,,,
하트비트,HRBT,Heartbeat,시스템 생존을 알리는 주기적 신호. 모니터링 대상이 살아있음을 확인하는 데 사용.,N,,,,,,,KLID-2 사업 자체
행정코드,ADMIN_CODE,Administration Code,행정 단위의 코드 값,N,,,,,,,
확인불가,UNK,Unknown,"이름, 출처, 경위, 원인 따위가 분명히 밝혀지지 아니함",N,,,,,,,
비정규과정,IRCRS,Irregular Course,非正規課程. 정식 편성이 아닌 비정기 교육 과정. 희망 교육형태 구분(온라인 정규/비정규과정)에서 사용.,N,,,,,,,발주처 관제인력 교육수요 조사 양식
어노테이션,ANNO,Annotation,데이터에 부가 정보를 주석 형태로 제공하는 것,N,,,,,,,
엔드포인트,ENDPT,endpoint,API 호출 대상 경로. 호출 이력의 endpoint.,N,,,,,,,
클라이언트,CLNT,client,외부 OpenAPI를 호출하는 협약 소비 주체(시스템/기관). 키 발급 단위.,N,,,,,,,
사건사고탐지,INCDET,Incident Detection,事件事故探知. CCTV 영상에서 사건·사고를 탐지하는 능력·요령. 희망 교육내용 항목. 행안부 사건 INCDNT + 사고 ACDNT 기반.,N,,,,,,,발주처 관제인력 교육수요 조사 양식
열람제공기준,ACCSTD,Access and Provision Standard,閱覽提供基準. 영상정보의 열람·제공에 관한 기준. 희망 교육내용 항목. 행안부 열람 PRSL + 제공 PVSN + 기준 CRTR 기반.,N,,,,,,,발주처 관제인력 교육수요 조사 양식
지방자치단체,LCLGV,Local Government,"地方自治團體. 특별시ㆍ광역시ㆍ도ㆍ시ㆍ군과 같이, 국가 영토의 일부를 구역으로 하여 그 구역 내에서 법이 인정하는 한도의 지배권을 소유하는 단체",N,,지자체,,,,,
지역거점순회,RGTOUR,Regional Tour,地域據點巡廻. 지역 거점을 순회하며 진행하는 교육 형태. 희망 교육형태 구분에서 사용. 행안부 지역 RGN 기반.,N,,,,,,,발주처 관제인력 교육수요 조사 양식
초당프레임수,FPS,Frames Per Second,"rames Per Second, 1초 동안 화면에 표시디는 이미지(프레임)의 수",N,수,,,,,,
개인정보보호법,PIPA,Personal Information Protection Act,個人情報保護法. 개인정보의 처리 및 보호에 관한 법률. 희망 교육내용 항목. 행안부 개인정보 PRVC + 보호 PRTC 기반.,N,,,,,,,발주처 관제인력 교육수요 조사 양식
안전성확보조치,SAFEMSR,Safety Assurance Measures,安全性確保措置. 개인정보보호법상 개인정보의 안전성 확보를 위한 기술적·관리적 조치. 희망 교육내용 항목. 행안부 안전 SFTY + 조치 ACTN 기반.,N,,,,,,,발주처 관제인력 교육수요 조사 양식 (개인정보보호법 제29조)
한전(한국전력공사),KEPCO,Korea Electric Power Corporation,한전(한국전력공사),N,,,,,,,
시/도,SIDO,Si do,시도,N,,,,,,,
AI,AI,Artificial Intelligence,"기계가 인간처럼 학습, 추론, 인식 등의 기능을 수행하는 기술",N,,,,,,,
API,API,Application Programming Interface,시스템 간 인터페이스. 외부API키 등 식별 단위.,N,,,,,,,KLID-2 사업 자체
bps,BPS,bits per second,초당 비트 — 네트워크 대역폭 단위. 송수신대역폭 측정.,Y,수,,,,,,KLID-2 사업 자체
CCTV,CCTV,Closed Circuit Television,"폐쇄회로 텔레비전. 특정 공간을 감시하기 위해 설치되는 영상 감시 시스템으로, 공공안전 및 방범 목적으로 널리 사용됨",N,,,,,,,
CCTV설치기준,CCTVSTD,CCTV Installation Standard,CCTV設置基準. CCTV 설치에 관한 법적·기술적 기준. 희망 교육내용 항목. 행안부 CCTV + 설치 INSTL + 기준 CRTR 기반.,N,,,,,,,발주처 관제인력 교육수요 조사 양식
IP,IP,Internet Protocol,"IP. OSI 모델의 제3계층(네트워크층)에 해당되는 프로토콜로 IP계층에 따라 다른 네트워크 간 패킷의 전송, 즉 경로 제어를 위한 규약",N,,아이피,,,,,
JTI,JTI,JWT ID,JWT (JSON Web Token) 의 고유 식별자. 토큰 무효화·중복 사용 방지에 사용.,N,,,,,,,KLID-2 사업 자체
MIME,MIME,Multipurpose Internet Mail Extensions,MIME. 파일의 인터넷 미디어 타입을 나타내는 표준 (예: application/pdf).,N,,,,,,,
PORT,PORT,Port,데이터를 송수신하기 위한 논리적 채널 번호,N,번호,,,,,,
