사업표준용어명,영문약어,설명,공공도메인,사업도메인,데이터타입,길이,허용값,저장형식,표현형식,이음동의어,출처
주값,MAIN_VALUE,공통코드의 주된 부가값 (코드별 임의 의미. 예: 임계값/비율/기본 메시지),,,V,200,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
지역,RGN,데이터셋 수집 지역(시·도). 지역(gov:2547).,,,V,50,,,,,KLID-PT D002 ERD-005
질문,QUST,FAQ 질문 제목 (faq.question). 운영·감사 D006.,,,,,,,,,D006 ERD-014 정합
차수,LEVEL_NO,"기관의 위치, 즉 상위 또는 하위 기관을 구분하는 번호

[영문] Level Number",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
채널,CHNL_CD,외부 위탁 채널 코드(DEIDENTIFY/VLM/AUGMENT),,,V,32,,,,,KLID-저작도구 ERD-021
출처,SRC,서드파티 식별 (선별관제 등). v2_statistic_events.source.,,,,,,,,,
코덱,CDC,영상·음성 인코딩 방식 (ffprobe 결과).,,,,,,,,,
코드,CD,공통코드 테이블의 코드값. GROUP_CD와 결합하여 unique key,,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
콜백,CLBK,"외부 시스템(VLM·증강 등)이 비동기 처리 결과를 역으로 호출해 전달하는 콜백.

[영문] Callback. gov 공통표준 8차 미등재 기술용어 — 사업 자체 등록.",,,V,500,,,,,KLID 저작도구 표준화 2026-05-30 (gov 미존재 기술용어)
토큰,TOKEN,"전송 토큰

[영문] Token",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
포트,PORT,외부 시스템 접속 포트 번호. 연결 테이블 공통 컬럼,,,N,11,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
해시,HASH,"데이터를 고정 길이 문자열로 변환한 해시값. 라벨 버전 스냅샷(payload SHA-256) 등 무결성·중복 식별에 사용.

[영문] Hash. gov 공통표준 8차 미등재 기술용어 — 사업 자체 등록.",,,V,64,,,,,KLID 저작도구 표준화 2026-05-30 (gov 미존재 기술용어)
화소,PXL,"이미지를 구성하는 최소 단위로, 화질을 나타내는 척도

[영문] Pixel",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
개통일,ACTV_YMD,"통신회선의 개통 날짜

[영문] Activity Year Month Day",,연월일V8,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
그룹명,GROUP_NM,"그룹의 이름 또는 명칭

[영문] Group Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
기관명,OG_NM,"기관의 이름

[영문] Organization Name",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
기본값,DFLT_VL,속성 기본값 (선택),,,V,255,,,,,KLID-저작도구 ERD-019
등록자,RGTR,,,,,,,,,,"D003 ERD-008 C그룹 (selective_collection_requests.created_by, gov 755 재사용)"
라벨명,LBL_NM,"라벨의 이름 또는 명칭

[영문] Label Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메뉴명,MENU_NM,"화면 또는 기능을 나타내는 메뉴의 이름

[영문] Menu Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메타값,META_VL,메타 값,,,V,2000,,,,,KLID-저작도구 ERD-010
메타키,META_KEY,"메타 키. (RAW_SN, META_KEY) UK",,,V,64,,,,,KLID-저작도구 ERD-010
멱등키,IDMP_KEY,"중복 요청을 식별·차단하기 위한 멱등성 키. 관제서버 통지/웹훅 수신 시 동일 요청 중복 처리 방지.

[영문] Idempotency Key. gov 공통표준 8차 미등재 기술용어 — 사업 자체 등록.",,,V,128,,,,,KLID 저작도구 표준화 2026-05-30 (gov 미존재 기술용어)
모델명,MODEL_NM,추론 모델명,,,V,100,,,,,KLID-저작도구 ERD-010
목적지,DSTN,"배포 목적지(전송 대상 위치). 단어: 목적지(DSTN, gov 831). dispatch_jobs.destination.",,,,,,,,,KLID-2 D004 ERD-010
배포명,DSTRB_NM,"데이터 셋 배포 이름

[영문] Distribution Name",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
보조값,SCND_VALUE,공통코드의 보조 부가값 (MAIN_VALUE와 함께 코드별 부가 정보 저장),,,V,200,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
비트값,BIT,"16BIT, 24BIT의 BIT단위 표현

[영문] Bit",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용률,USE_RT,"사용하는 비율

[영문] Uge Rate",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사장큐,DLQ,"최대 재시도 후에도 처리 실패한 메시지를 보관하는 사장(dead-letter) 큐. 통지/웹훅 폴백 처리.

[영문] Dead Letter Queue. gov 공통표준 8차 미등재 기술용어 — 사업 자체 등록.",,,V,32,,,,,KLID 저작도구 표준화 2026-05-30 (gov 미존재 기술용어)
색상값,COLR_VL,라벨 색상값. 대문자 #RRGGBB hex 형식,,,V,7,,,,,KLID-저작도구 ERD-019
샘플키,SAMPLE_KEY,"학습 샘플의 고유 키. 단어 조합: 샘플(SAMPLE, program 566) + 키(KEY, program 453). training_samples/json_change_history.sample_key.",,,,,,,,,KLID-2 D004 ERD-010
설정값,STNG_VALUE,"설정 구분자에 적용된 설정 값

[영문] Setting Value",내용V4000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설정키,STNG_KEY,"설정을 구분하기 위한 구분자

[영문] Setting Key",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
속성값,ATTR_VL,속성값(1000자 이내),,,V,1000,,,,,KLID-저작도구 ERD-010
속성명,ATTR_NM,속성 이름 (1~64자). 라벨 내 UNIQUE,,,V,64,,,,,KLID-저작도구 ERD-019
순서키,SEQ_KEY,ID 시퀀스 발급 단위 식별 키 (이벤트/클립/요청 등). TB_ID_SEQUENCE PK,,,V,20,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
시도명,SIDO_NM,"시도 이름

[영문] Si do Name",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
식별키,IDNTF_KEY,관제지원이 응답한 식별 키 — DFEAT-066 VLM update 시 매칭. UNIQUE.,,,,,,,,,
신규값,NEW_VL,변경 후 메타 값,,,V,2000,,,,,KLID-저작도구 ERD-010
역할명,ROLE_NM,사용자 역할의 명칭. 역할(gov 1719)+명(형식).,명V100,,,,,,,,KLID 2차 D005 ERD-012 roles.name
연락처,CNPL,회원 연락 전화번호(010-XXXX-XXXX). 연락처(gov:1731).,,,V,20,,,,,KLID-PT D002 ERD-002 members.phone
오류수,ERR_CNT,연결/처리 실패 누적 횟수. 임계값 초과 시 비활성화 등 운영 판단 기준,,,N,11,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
오프셋,OFFSET,"오프셋

[영문] Offset",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이메일,EML,회원 이메일 주소(RFC 5322). 이메일(gov:1983).,,,V,100,,,,,KLID-PT D002 ERD-002 members.email
이전값,PREV_VL,변경 전 메타 값,,,V,2000,,,,,KLID-저작도구 ERD-010
자산키,ASST_KEY,자산 식별 키. 중계서버 부여 영상 식별자 (batch 내 unique).,,,,,,,,,
장비명,EQPMNT_NM,"갖추어 차린 장치와 설비의 이름

[영문] Equipment Name",명V100,,,,-,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
접두사,PREFIX,"ID 시퀀스 발급 시 부착하는 접두사 문자열 (예: ""EVT-"", ""CLP-"")",,,V,20,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
정확도,ACC,VLM 검증 정확도 (0.0000~1.0000 DECIMAL 표현). TP_CRTR_ACC/FP_CRTR_ACC 임계값 비교 대상,,,D,9,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
제조국,MNFTR_NTN,"장비 또는 제품이 제조된 국가 정보

[영문] Manufacture Nation",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
조회수,INQ_CNT,"인터넷 따위에 올려진 게시물을 확인한 횟수

[영문] Inquiry Count",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
종횡비,ASPRT_RT,"화면이나 이미지의 가로 대비 세로 비율

[영문] Aspect Ratio",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
주야간,DAY_NGT,"영상 촬영 시간대 주야간 구분 (주간/새벽/야간). 단어: 주야간(DAY_NGT, prog 613). datasets.day_night.",,,,,,,,,KLID-PT D001 ERD-001
진행률,PRGRT,"외부 AI Webhook(API-289 status=processing) 보고 진행률 0.0~1.0. completed 시 1.0, 미보고 시 NULL(ADR-059 폴링 제거로 잃은 진행 가시성 복원). 행안부 형식단어/용어 진행률(PRGRT, gov word 2590·term 10387) 재사용. genai_jobs.prgrt (구 물리 prgrs_rate rename).","율N5,2",,,,,,,,KLID-2 D007 ERD-007
집계키,TOT_KEY,집계 차원 내 키값(쓰러짐/서울/2026-Q1/TOTAL 등). 집계(gov:2596)+키(prog:453).,,,V,50,,,,,KLID-PT D006 ERD-002 데이터현황스냅샷.집계키
처리자,PRCS_USER_ID,"처리한 사용자를 식별하기 위한 고유 ID

[영문] Processing User Id",,식별자V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
체크섬,CHK_SUM,"오류 검출 방식의 하나. 메시지에 포함된 비트 수에 기반한 수칫값을 전송 메시지에 추가하여 전송함으로써 오류를 검출

[영문] Check Sum",,내용V255,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
총건수,TOT_NOCS,총 건수. batch 내 영상 총 수·rollup total_count.,,,,,,,,,
총크기,TOTAL_SZ,"배포 아카이브 총 크기. 단어 조합: 총(TOTAL, program 420) + 크기(SZ, gov 2898). dispatch_jobs.total_size.",,,N,20,,,,,KLID-2 D004 ERD-010
촬영자,SHT_PRSN,"촬영을 수행한 사람

[영문] Shooting Person",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
촬영지,SHT_PLC,"촬영 장소

[영문] Shooting Place",,명V500,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
최대값,MAX_VALUE,ID 시퀀스 발급 가능 최대값. 초과 시 CYCL_YN에 따라 리셋 또는 오류,,,N,20,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
코드명,CM_CD,"업무 항목을 구분하기 위해 부여된 코드 값

[영문] Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
클립초,CLIP_SEC,"영상 클립 길이 (초). 이벤트 발생시각 기준 ±(clip_sec/2)로 사전·사후 영상 추출용.

[영문] Clip Seconds",,,N,10,,,,,KLID-2 자체 파생 (클립+초)
통계값,STATS_VL,,,,,,,,,,"D003 ERD-008 C그룹 (resource_stats_unified.stat_value, gov VL 101)"
파일명,FILE_NM,업로드 원본 파일명. background_images.file_name,명V256,,,,,,,,KLID-2 D007 ERD-007
파일수,FILE_CNT,데이터셋 포함 파일 수. 파일(gov:2986)+수(gov:1440).,수N10,,,,,,,,KLID-PT D002 ERD-005
포인트,POINT,"특정 지점 또는 기준이 되는 위치

[영문] Point",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
해상도,RSLTN,"이미지나 영상의 해상도 값

[영문] Resolution",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
현재값,CUR_VALUE,ID 시퀀스의 현재 발급값 (마지막 발급된 정수),,,N,20,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
호스트,HOST,외부 시스템 접속 호스트 주소 (IP 또는 도메인명). 연결 테이블 공통 컬럼,,,V,255,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
가변여부,MUTABLE_YN,프레임별 값 변경 허용 여부('Y'=프레임마다 다른 값/'N'=트랙 단위 고정),,,C,1,,,,,KLID-저작도구 ERD-019
가입일시,JOIN_DT,회원 가입 완료 일시(EVT-001 발행 시점). 가입(gov:35)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D001 ERD-001 회원.가입일시
감지일시,DETECT_DT,"refresh 토큰 재사용(폐기·회전된 토큰 재제시) 감지 일시. 단어 조합: 감지(DETECT, program 552) + 일시(DT, gov 2056). ADR-070. D001 relay_reuse_audit.",연월일시분초D,,,,,,,,KLID-2 D001 ERD-005
개정일시,RVSN_DT,약관 개정(공고) 일시. 개정(gov:137)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D002 ERD-002 terms_versions.published_at
갱신일시,UPDT_DT,배치 갱신 실행 일시. 갱신(gov:147)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D006 ERD-002 데이터현황스냅샷.갱신일시
거부건수,DSCD_NOCS,거부·폐기된 영상 건수.,,,,,,,,,
검수순번,IGI_SEQ,"검수 항목의 순번 또는 순서

[영문] Incoming Goods Inspection Seq",,정렬N10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
검수일시,RVW_DT,검수(REVIEWER 승인/반려) 수행 일시. LS_DATA_META_REVIEW·LS_DATA_AUG_RVW.RVW_DT. 도메인 특화 term — gov 일반표준 '검토일시'(RVW_DT)를 우리 도메인 의미(검수)로 override(REQ_DT=API요청일시 패턴 동일). 논리명 관례 = 검수(2026-07-10 사용자 확정).,,,D,,,,,,KLID-저작도구 ERD-010/011 (LS_DATA_META_REVIEW·LS_DATA_AUG_RVW)
검수차수,IGI_CYCL,"검수 작업의 반복 횟수 또는 차수

[영문] Incoming Goods Inspection Cycle",,정렬N10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
검출결과,DTCT_RSLT,"정탐/오탐 검출 결과 (tp/fp). 중계서버 VLM 판정 후 API-224가 UPDATE. 통계 rollup tp_nocs/fp_nocs 직접 카운트 원천 (ADR-090, vlm_score 임계 재계산 폐기). 단어 조합: 검출(DTCT, program 620 / gov 187) + 결과(RSLT, program 375 / gov 199). ERD-026 v2_statistic_events.dtct_rslt 물리 컬럼.",,,V,2,"tp(정탐), fp(오탐)",,,,KLID-2 D002 ERD-026 (glossary-align)
게시상태,PSTG_STTS,공지사항 게시 상태(draft/published/expired). 게시(gov:191)+상태(gov:1291).,,,V,20,,,,,KLID-PT D003 ERD-003 notices.status
결과경로,RSLT_PATH,AI 작업 결과 파일 NAS 경로. 결과(gov:199)+경로(gov:224).,,,V,500,,,,,KLID-PT D003 ERD-006
결과요약,RSLT_SMRY,배치 실행 결과 요약 (처리/성공/실패 건수 등 짧은 메시지),,,V,1000,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
계산일시,CAL_DT,,,,,,,,,,D003 ERD-008 C그룹 (resource_stats_unified.computed_at→cal_dt rename)
계절코드,SESN_CD,"사계절 등을 분류하는 코드

[영문] Season Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
계정상태,ACNT_STTS,회원 계정의 4단계 상태(active/temp_locked/suspended/withdrawn). ADR-001. 계정(gov:255)+상태(gov:1291).,,,V,20,,,,,KLID-PT D002 ERD-002 members.account_status
공간도형,GEOM,,,,,,,,,,D003 ERD-008 C그룹 (resource_poles/cctvs/gis_layer_features.geom)
공지내용,NTC_CN,"공지사항에 포함된 내용

[영문] Notice Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
공지제목,NTC_TTL,"공지사항의 제목 또는 제목

[영문] Notice Title",,명V300,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
공통코드,COM_CD,"B

[영문] Common Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
관제일지,MNTR_CN,"관제 시스템의 기록 또는 감시 내용

[영문] Monitoring Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
국산대수,KOR_COM,"국산대수

[영문] Korean Made Count Of Machines",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
권한내용,AUTHRT_CN,"권한과 관련된 설명이나 상세 내용

[영문] Authority Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
권한순서,AUTHRT_SEQ,"어떤 사람이나 기관의 권리나 권력이 미치는 범위를 정해진 기준에 따라 배열한 순서

[영문] Authority Sequence Number",,정렬N10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
권한이름,AUTHRT_NM,"권한을 지칭하는 권한 이름

[영문] Authority Name",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
권한코드,AUTHRT_CD,"권한을 지칭하는 코드 값

[영문] Authority Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
그룹설명,GROUP_EXPLN,"그룹 코드에 대한 설명 또는 용도

[영문] Group Explanation",,내용V1000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
그룹코드,GROUP_CD,"그룹으로 분류된 항목에 부여되는 코드

[영문] Group Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
기관코드,OG_CD,"기관 코드

[영문] Organization Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
기록일시,RCRD_DT,audit 기록 시각. append-only 정렬 키.,,,,,,,,,
기준일자,BASE_DATE,"통계 기준 일자

[영문] Base Date",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
날씨코드,WTHR_CD,"날씨 상태를 나타내는 코드

[영문] Weather Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
납부번호,PAY_NO,"CCTV 전원의 요금 납부번호

[영문] Payment Number",,,V,50,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
내부메모,INSD_MEMO,문의 내부 메모(AC-089 처리중 전환 시). 내부(gov:581)+메모(gov:797).,,,V,4000,,,,,KLID-PT D004 ERD-004 문의.내부메모
내용포맷,CN_FRMAT,본문 저장 포맷(markdown 등). 내용(gov:584)+포맷(gov:3027). ADR-003.,,,V,10,,,,,KLID-PT D003 ERD-003 notices.content_format
녹화일시,RCRD_DT,"영상이 녹화된 일시. 단어 조합: 녹화(RCRD, program 570) + 일시(DT, gov 2056). training_samples.recorded_at→recorded_dt.",,,,,,,,,KLID-2 D004 ERD-010
단계차수,STP_CYCL,"처리 단계의 반복 차수

[영문] Step Cycle",,정렬N10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
닫기유형,DSMSL_TYPE,팝업 공지 닫기 유형(today/permanent). 닫기(prog:611)+유형(gov:1943).,,,V,10,,,,,KLID-PT D003 ERD-003 notice_dismissals.dismiss_type
닫기일시,DSMSL_DT,팝업 공지 닫기 일시. 닫기(prog:611)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D003 ERD-003 notice_dismissals.dismissed_at
답변본문,ANS_MTXT,"FAQ 답변·서비스 요청 답변의 본문 (faq.answer_body, service_request_replies.reply_body).",,,,,,,,,D006 ERD-014 정합
답변일시,ANS_DT,문의 답변 완료 일시(AC-088). 답변(gov:644)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D004 ERD-004 문의.답변일시
대상역할,TRGT_ROLE,공지 대상 역할(all/admin_only). 대상(gov:677)+역할(gov:1719).,,,V,20,,,,,KLID-PT D003 ERD-003 notices.target_role
동의여부,AGRE_YN,약관 동의 여부(Y/N). 동의(gov:740)+여부(gov:1711).,여부C1,,,,,,,,KLID-PT D001 ERD-001 약관동의이력.동의여부
동의일시,AGRE_DT,약관 동의 시점. 동의(gov:740)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D001 ERD-001 약관동의이력.동의일시
등록방식,REG_MTH,IP 허용목록 항목의 등록 방식(수동/자동 등). 등록(gov 752)+방식(gov 961). gov 표준 도메인 부재로 custom.,,,C,20,,,,,KLID 2차 D005 ERD-012 user_ip_allowlist.registration_method
등록일시,REG_DT,"일정한 자격이나 조건을 갖추려고 단체나 기관 등에 문서, 서류 등을 올린 날짜와 시각

[영문] Registration Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
등록일자,REG_YMD,"일정한 자격이나 조건을 갖추려고 단체나 기관 등에 문서, 서류 등을 올린 날짜

[영문] Registration Year Month Day",,연월일V8,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
등재일시,RGST_DT,생성 영상을 D002에 등재(promote)한 시각. genai_jobs.promoted_at,연월일시분초D,,,,,,,,KLID-2 D007 ERD-007
라벨내용,LBL_CN,"라벨에 대한 내용 또는 설명

[영문] Label Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
라벨색상,LBL_COLR,"라벨의 색상을 나타내는 항목

[영문] Label Color",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
라벨유형,LBL_TYPE,"라벨 구분 형식

[영문] Label Type",명V256,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
라벨코드,LBL_CD,라벨 코드 (카테고리). 프리셋 내 UNIQUE,,,V,32,,,,,KLID-저작도구 ERD-019
라벨형식,LBL_FMT,"라벨 형식

[영문] Lebel Format",명V256,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
라이선스,LCNS,"사용 권한 또는 라이선스

[영문] License",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
레이어명,LAYER_NM,,,,,,,,,,D003 ERD-008 C그룹 (gis_layers.layer_nm)
렌즈유형,LENS_TYPE,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.lens_type)
로그유형,LOG_TYPE,"로그의 유형 구분 (system/app/access 등). 단어 조합: 로그(LOG, gov 3164 로그일시 기반) + 유형(TYPE, gov 1943).",명V20,,,,,,,,KLID-2 D001 ERD-005
로그일시,LOG_DT,"시스템 사용과 관련된 전체의 기록에 작성된 날짜와 시각

[영문] Log Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
마감여부,DDLN_YN,"하던 일을 마물러서 끝마쳤는지 여부

[영문] Deadline Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
마감일시,DDLN_DT,"하던 일을 마물러서 끝낸 날짜와 시각

[영문] Deadline Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
마킹내용,MARK_CN,마킹 결과 marks 배열(프레임 인덱스/타임스탬프)의 JSON 문자열,,,V,4000,,,,,KLID-저작도구 ERD-013
만료일시,EXPD_DT,"작업이 만료된 날짜와 시각

[영문] Expired Date And Time",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메뉴내용,MENU_CN,"메뉴에 대한 설명 또는 안내 문구-

[영문] Menu Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메뉴코드,MENU_CD,"메뉴 항목에 부여된 코드

[영문] Menu Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메타내용,META_CN,"메타데이터의 설명

[영문] Metadata Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
모델버전,MDL_VER,모델 버전,,,V,50,,,,,KLID-저작도구 ERD-010
모델유형,MDL_TYPE,"AI 모델 유형 (객체탐지/세그멘테이션/생성 등). 모델(MDL, gov 822)+유형(TYPE, gov 1943). ai_models.model_type.",,,,,,,,,KLID-PT D006 ERD-004
모델코드,MDL_CD,"AI 모델 고유 코드. 모델(MDL, gov 822)+코드(CD, gov 2891). ai_models.model_code.",,,,,,,,,KLID-PT D006 ERD-004
모듈건수,MDUL_NOCS,"연결된 모듈의 개수. 단어 조합: 모듈(MDUL, gov 824) + 건수(NOCS, gov 168).",수N10,,,,,,,,KLID-2 D001 ERD-005
목표가로,TARGET_W,타겟 가로(px) — 종횡비 보존 산정(짝수 보정),,,N,10,,,,,KLID-저작도구 ERD-012
목표세로,TARGET_H,타겟 세로(px) — 프리셋 기준,,,N,10,,,,,KLID-저작도구 ERD-012
목표수량,GOAL_CNT,"설정된 목표 수량

[영문] Goal Count",,정렬N10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
무시건수,IGNR_NOCS,이그노어로 분류된 이벤트 수.,,,,,,,,,
무시여부,IGNR_YN,이그노어 이벤트로 차단되었는지 여부.,,,,,,,,,
